rating_id,user_id,movie_id,rating
1,4694,14469,5.6
2,581,5074,8.4
3,678,983,3.7
4,3932,18249,7.3
5,2754,15445,7.3
6,789,4860,1.7
7,4782,2879,4.6
8,3225,19675,7.4
9,484,3649,4.6
10,2634,2657,6.1
11,2307,1964,8.7
12,50,8555,6.3
13,637,1474,9.8
14,378,10313,3.1
15,2717,2870,2.7
16,2539,7827,9.6
17,4694,5786,9.4
18,2600,6387,8.3
19,1134,9180,6.1
20,4045,10610,9.5
21,1215,30,5.3
22,3902,17649,5.2
23,1660,2097,5.9
24,1180,10385,2.7
25,485,11448,5.7
26,194,9654,7.2
27,1312,2316,4.1
28,4908,7740,3.1
29,3406,12612,3.1
30,714,4267,8.3
31,2389,13791,4.7
32,3597,15501,1.5
33,2176,8132,6.3
34,53,8475,8.7
35,1289,652,7.1
36,3610,18621,6.9
37,4309,19243,3.3
38,573,16525,9.8
39,707,9855,3.8
40,3311,1676,1.8
41,2425,601,1.3
42,453,6480,1.5
43,966,10453,1.3
44,2929,3329,7.0
45,2767,9554,7.7
46,3817,11298,7.9
47,3067,17751,2.9
48,738,7417,5.1
49,3722,16112,8.4
50,4368,9259,7.7
51,2203,9393,7.5
52,2122,6308,6.9
53,4719,8253,7.8
54,4263,10075,5.3
55,876,17619,1.3
56,2773,2903,9.3
57,3255,18224,3.5
58,4502,1512,9.9
59,650,18082,2.8
60,4330,14073,5.0
61,1067,18872,9.1
62,701,7835,1.2
63,285,19057,7.9
64,1648,16769,1.0
65,4765,18629,7.2
66,2569,15024,8.6
67,2228,6619,9.0
68,4356,2152,4.4
69,1367,16873,2.6
70,2328,5318,7.2
71,608,18381,9.4
72,1820,9914,6.7
73,1176,3577,1.9
74,1554,5227,2.9
75,2603,4050,8.6
76,2054,12922,5.8
77,2533,9018,3.5
78,2577,17917,3.5
79,3070,13377,1.8
80,2576,17458,4.0
81,4924,17628,4.6
82,426,15042,9.2
83,4943,9276,4.1
84,2815,6894,7.0
85,4567,11386,8.4
86,4578,744,3.5
87,647,12878,5.3
88,2620,2262,5.6
89,1910,6374,7.0
90,2679,7911,1.4
91,2442,11685,2.6
92,262,16785,8.7
93,2078,14519,5.4
94,1156,16695,8.4
95,4414,5593,7.2
96,4595,13006,5.5
97,3422,8908,3.7
98,430,12666,5.8
99,3002,19473,7.0
100,1872,5167,8.0
101,523,10410,7.6
102,1157,11423,5.0
103,4478,5366,2.4
104,3288,4326,5.6
105,3929,18218,8.2
106,3826,8202,5.8
107,562,17782,6.8
108,3996,16325,8.8
109,2625,4591,5.7
110,1057,9877,9.2
111,1429,19217,1.1
112,3281,19106,8.2
113,2783,16966,6.5
114,3437,238,1.3
115,1995,593,5.0
116,1155,5808,8.2
117,2902,828,7.2
118,2297,6747,2.4
119,554,4853,3.4
120,1405,18441,9.3
121,2235,6382,1.1
122,1210,18415,2.2
123,3302,8085,9.0
124,3888,4967,4.3
125,512,7987,7.5
126,4465,4045,2.7
127,4664,15881,7.5
128,4268,4645,1.9
129,4695,10038,9.6
130,4266,14254,7.8
131,1971,3257,3.1
132,2136,5813,7.4
133,346,19802,1.9
134,676,19822,4.0
135,4205,16089,8.0
136,1558,5373,6.5
137,2753,5521,2.9
138,1197,2440,7.4
139,2499,17415,2.3
140,3747,5730,6.5
141,1432,3780,6.1
142,363,8626,1.8
143,4307,13462,6.4
144,794,5447,8.4
145,621,7892,3.6
146,4297,5037,4.6
147,3475,1555,7.0
148,3015,16908,4.4
149,824,19248,9.6
150,3521,7392,2.5
151,4732,15188,2.8
152,379,18212,7.8
153,455,11819,9.1
154,2190,5813,1.8
155,103,6796,1.0
156,28,2522,3.5
157,3449,19074,4.9
158,41,9116,4.9
159,4114,19782,6.7
160,2947,15223,8.3
161,4983,9022,3.3
162,2042,1713,5.0
163,2580,16928,1.2
164,2511,19963,3.7
165,1151,17107,1.6
166,1073,8212,4.4
167,3522,14439,6.8
168,260,5425,4.1
169,3556,15649,6.7
170,1241,16279,6.5
171,2609,16869,2.4
172,1395,5719,1.8
173,2848,5726,8.3
174,3238,13007,7.3
175,2875,2813,1.5
176,1388,15717,2.9
177,4230,6805,7.1
178,716,18860,6.3
179,1926,18806,4.6
180,2497,11633,5.9
181,3354,5622,9.5
182,4398,3066,4.9
183,626,16946,7.3
184,3725,7470,7.6
185,1090,12505,1.5
186,2037,6146,2.3
187,393,6593,9.4
188,4659,12052,7.1
189,3807,5334,4.0
190,1829,13433,1.4
191,3141,19475,2.0
192,3374,8588,2.8
193,2979,14271,9.3
194,4185,9806,1.6
195,3811,16440,5.8
196,4818,5749,7.3
197,2489,3479,3.2
198,2494,4260,1.8
199,1128,18026,9.7
200,1255,9253,5.3
201,1020,9418,8.6
202,4832,7932,3.2
203,4800,17749,3.8
204,548,3054,7.6
205,2693,3576,3.3
206,995,223,5.9
207,4837,11887,7.0
208,1096,12707,6.7
209,4012,7049,6.8
210,2518,9571,2.2
211,1165,15483,4.8
212,406,18409,8.3
213,4830,19698,7.2
214,1999,16911,5.2
215,893,10981,9.3
216,4523,15507,6.9
217,3842,3079,2.4
218,2735,4884,8.1
219,755,13739,3.9
220,4821,19311,5.8
221,3049,950,8.9
222,4069,4820,1.0
223,2596,14427,3.7
224,2560,14002,9.8
225,2001,15812,7.9
226,3431,8602,2.5
227,4539,16809,6.1
228,3169,7818,6.5
229,1840,4610,3.0
230,2225,6489,6.8
231,1819,17713,2.0
232,3196,4379,2.4
233,425,19125,3.5
234,3375,13570,9.8
235,2080,11746,1.3
236,1592,11216,9.1
237,3981,8164,7.3
238,4813,8342,4.2
239,3041,6793,4.5
240,3774,3920,6.4
241,2519,4445,2.1
242,2987,3107,5.9
243,3169,11297,8.1
244,3306,11839,9.1
245,1553,12284,8.4
246,1708,18166,7.0
247,4195,12034,4.2
248,1527,1113,7.3
249,811,11644,5.6
250,3938,611,1.4
251,2830,18991,3.8
252,1402,8204,7.8
253,568,18272,5.2
254,4035,5453,2.0
255,4309,19232,6.4
256,3599,4302,4.6
257,1326,12577,1.3
258,3708,14742,3.0
259,4498,7585,6.2
260,4217,15205,4.7
261,4122,17202,5.8
262,135,14493,3.9
263,554,9439,4.1
264,2757,17469,8.4
265,2824,11437,3.5
266,2405,2326,7.0
267,934,3207,4.7
268,105,11343,2.5
269,2545,7557,6.1
270,4964,10229,4.7
271,1698,16309,6.0
272,1423,13317,8.0
273,1490,5195,8.7
274,2768,2381,1.1
275,4135,15400,1.7
276,2208,17533,3.3
277,3275,17396,7.8
278,4612,7934,2.7
279,2982,8362,2.1
280,479,9008,3.5
281,2869,14956,9.7
282,112,12139,9.2
283,353,19865,8.4
284,4389,1931,1.6
285,3363,8911,4.0
286,490,18146,1.3
287,1078,9999,3.4
288,3095,4710,1.2
289,2146,15607,5.7
290,364,14777,9.1
291,3020,773,7.2
292,3796,6445,8.2
293,4295,18743,6.4
294,1367,762,3.4
295,4924,785,5.8
296,1711,10826,5.3
297,3887,5721,4.1
298,2328,15391,8.0
299,4607,11987,6.3
300,976,4975,5.7
301,3836,4643,6.7
302,619,14312,7.8
303,4036,10730,1.1
304,671,13909,7.6
305,1595,12755,6.6
306,211,8016,7.8
307,3152,8987,6.1
308,2038,5450,8.7
309,2052,3845,6.9
310,4204,3455,9.4
311,1128,17300,9.4
312,3577,11343,2.2
313,1354,2858,6.0
314,3886,4374,3.4
315,230,19632,4.7
316,1154,10890,9.6
317,391,18305,4.1
318,1733,17815,8.5
319,4615,13145,7.6
